t,Y,C,G,B,W,N,pi,I
1966-01-01,-0.6364437642095933,-0.6691829081796552,-1.286740443240042,8.261960399156965,0.7803979922716753,-0.791081941510674,-0.21046113205615818,-0.20045138888888892
1966-04-01,-0.7268087771125753,-0.4469658867593207,-0.9913925475411478,7.350331916909669,0.9327371046579325,-0.622366093993465,-0.03149489915321418,-0.13795138888888886
1966-07-01,-0.7034454490204567,-0.7010529209182881,-0.3376388020377874,7.449903240383382,0.9274440088381297,-0.5919552657095206,0.11388182300533806,0.019548611111111155
1966-10-01,-0.6938191895311085,-0.7269542144242802,-0.16948392244704458,7.247932072284147,1.04092907491522,-0.749326273047668,-0.016884909801648078,0.07704861111111125
1967-01-01,-0.6528543856638258,-0.7292359085533384,0.708865410523396,6.940537808715308,1.5583340983078786,-0.854960129670479,-0.432535148852972,-0.07045138888888865
1967-04-01,-0.8112848459426392,-0.6927474562901104,0.588307527935994,5.876346021726631,1.620116345973055,-1.0787849580109476,-0.34237529443014986,-0.2929513888888888
1967-07-01,-0.756160103086323,-0.8633150091672981,0.7531124393802546,6.296795091404372,1.9309957887564844,-1.0748199581016582,0.10525472173903722,-0.3579513888888887
1967-10-01,-0.7580017699203356,-1.0787394481285961,0.8995893137845101,6.327469212074288,1.722704064344982,-1.0500076357263577,0.25943963001811304,-0.33545138888888876
1968-01-01,-0.42477056789302914,-0.6489794681529215,1.2274622024753157,6.0791075786773,2.192818248873074,-1.0761863601540078,0.25285391444545297,-0.15295138888888876
1968-04-01,-0.17756016816528053,-0.4887883966633755,1.2658155742531818,5.206448695131538,2.684524752995343,-0.9047462285857844,0.2023342774268218,0.13454861111111116
1968-07-01,-0.16283101834431157,-0.06361424190637344,1.2868079891686257,5.305849821006181,2.895085001937625,-0.8069820455584242,0.12602313927459213,0.20204861111111116
1968-10-01,-0.2507782140210413,-0.2493318452320814,1.2135729796971528,4.852387910661815,2.9865839616726175,-0.7378135941196184,0.552858963034167,0.1720486111111112
1969-01-01,-0.03142384703469503,-0.17958512001303717,1.0708128610910084,4.384574484783932,3.1068501199675858,-0.5731344971398489,0.177734501644425,0.2695486111111112
1969-04-01,-0.12245928807934625,-0.24013966459746072,0.9528266008538289,3.2874298992264905,3.604858983737147,-0.40915055110901655,0.41447080964849575,0.5470486111111111
1969-07-01,-0.1383042893927211,-0.4212427261232943,1.04512955348115,3.156334272083272,3.313506593009974,-0.36575445692452746,0.5490288434989473,0.8470486111111111
1969-10-01,-0.45169640833386815,-0.3052870141045716,0.594453683100804,3.0145077687056987,3.7347239313752167,-0.5275246555003665,0.43264912195686583,0.9445486111111111
1970-01-01,-0.6687513175188009,-0.4453514170809747,0.6092230543997434,2.592774653365437,3.1001887096817837,-0.7039882670575537,0.5526720973339646,0.9395486111111113
1970-04-01,-0.8171669576340967,-0.7064679151986386,0.23474253342596896,1.7860194562190235,3.073825139215658,-1.1149714894682639,0.533302205428868,0.7195486111111112
1970-07-01,-0.7836647910964611,-0.6397695475680365,0.40404627111940705,1.8112237179606638,3.5901893863378165,-1.3334521736247051,-0.03157233874226655,0.49704861111111115
1970-10-01,-1.2566660785595651,-0.8159689623154165,0.30370347959598476,1.814396908815441,3.2995427096879304,-1.6263359662615162,0.46450082778280183,0.24454861111111117
1971-01-01,-0.7811598863106006,-0.7397737374198243,0.06903455338127529,1.2561755232482708,3.940866382602981,-1.6049328218371794,0.6587004936272208,-0.2704513888888888
1971-04-01,-0.8330366613219287,-0.8067138668316876,-0.015109041306482496,0.953090653274069,3.8984103568431294,-1.6083133550746975,0.4566091488488218,-0.26545138888888886
1971-07-01,-0.8151304463985376,-0.9029995115484191,-0.08426371357574958,1.2889830614934872,4.129336336294309,-1.694001903574538,0.1637189833124693,0.022048611111111054
1971-10-01,-0.9520752872431704,-0.7286938503260121,-0.24742947618250355,1.4470407847180677,4.5232224974449675,-1.5236864856051024,-0.018215594394030248,-0.005451388888888693
1972-01-01,-0.6763947478390264,-0.7628207767502282,0.14180151842762,0.9310383947533252,6.075842145476673,-1.3215551491575717,0.6638719834669601,-0.42795138888888884
1972-04-01,-0.28666460046991027,-0.4011709607614211,0.2173934917507392,0.403721466658824,6.878353713726781,-1.2113012175893,-0.22823971746157284,-0.2629513888888888
1972-07-01,-0.2273993333512081,-0.26315318119323194,-0.3551480852649558,0.2786136103434922,6.815037156433279,-1.1450904735311518,0.1019136995282362,-0.16795138888888883
1972-10-01,0.004232443418450416,0.015968995547233078,-0.18063322912706958,0.4539146918613013,7.183386185014973,-0.9667049154673091,0.4182653041167746,-0.0429513888888889
1973-01-01,0.443751934600467,0.20848158488666613,0.05215084483527477,0.4065984474567075,7.394166672422453,-0.6660430740021539,0.29690781489038215,0.17954861111111123
1973-04-01,0.546797769208851,0.22104567366807437,-0.2067461733499698,-0.36041170560042746,7.200798978900447,-0.47313223460054843,0.6788872794824904,0.4745486111111112
1973-07-01,0.2420243971723579,0.09087385745907284,-0.7103547803957166,-0.9835971396395249,6.587358312315272,-0.3778756114663828,1.077437261723427,1.2945486111111115
1973-10-01,0.29865235939618984,-0.19213141146683377,-0.6722893044970757,-1.3491356949822508,5.906061910731175,-0.3315128583830873,1.1243879231010363,1.1970486111111112
1974-01-01,-0.08424254285266386,-0.38096858641738507,-0.33582817789463704,-1.887045895069639,5.308033907368448,-0.5016690102102039,1.0208061343356418,1.1070486111111113
1974-04-01,-0.19041057944528816,-0.4171046951863655,-0.26909768170937376,-2.7543022492552027,4.224021238605236,-0.4986365194639575,1.487044322498335,1.3220486111111112
1974-07-01,-0.6019240073006582,-0.6001321279410554,-0.27386575178187655,-3.4201521523088974,3.924392403879673,-0.6569386804291089,2.040944427449201,1.9245486111111112
1974-10-01,-0.8822809740217874,-0.9661549422618876,-0.26548451377763627,-3.900925524251153,3.3236119070058745,-1.151577355617528,2.0502934080369766,1.2095486111111113
1975-01-01,-1.3564350647282897,-1.2916115511776738,-0.21770598249268858,-3.930485238999104,2.0228838911189317,-2.0048772223109523,1.3989115404618586,0.47704861111111124
1975-04-01,-1.343627000311054,-1.352910620379344,-0.5022670695098874,-3.4838692873008004,1.6979425812907456,-2.299570976160892,0.625722953401667,0.0670486111111113
1975-07-01,-1.1079079054306273,-0.8979888432529837,-0.3094091234285834,-3.316778705372503,1.2924454415449205,-2.1614411375359577,0.900963718712314,0.21954861111111115
1975-10-01,-0.9567676478421827,-1.01331602620518,-0.22626807857664133,-3.044813155292636,1.1625683080415117,-1.8218446897673157,0.811216545404417,0.14954861111111123
1976-01-01,-0.5718347407626556,-0.4010447917881521,-0.27164625984759105,-2.613534157378916,1.6141067178502277,-1.484931004654122,0.20224947194707205,-0.0879513888888888
1976-04-01,-0.553149777567441,-0.42558987219520894,-0.6760295993917698,-2.359330719366992,2.0877389464637464,-1.5347951074383026,0.15349653973315852,-0.10045138888888881
1976-07-01,-0.5913420031848027,-0.40916957047829605,-0.9850364516990062,-2.4344867086724675,2.2531101739016846,-1.5091952979929157,0.4359481751919499,0.022048611111111054
1976-10-01,-0.5945683056444828,-0.47177371860871453,-1.1348734774281777,-2.478492408709876,2.289884933414843,-1.4584471150091094,0.9278950362451773,-0.05045138888888894
